location,region
"Chennai, Tamil Nadu, India",Asia
"Delhi, India",Asia
"Doha, Qatar",Asia
"Dubai, United Arab Emirates",Asia
"Gurugram, Haryana, India",Asia
"Hyderabad, Telangana, India",Asia
India,Asia
"Indore, Madhya Pradesh, India",Asia
"Islāmābād, Pakistan",Asia
Israel,Asia
"Jaipur, Rajasthan, India",Asia
"Jeddah, Makkah, Saudi Arabia",Asia
"Karachi Division, Sindh, Pakistan",Asia
"Karāchi, Sindh, Pakistan",Asia
"Kerala, India",Asia
"Kishangarh, Rajasthan, India",Asia
"Kochi, Kerala, India",Asia
"Limassol, Cyprus",Asia
"Mumbai, Maharashtra, India",Asia
"New Delhi, Delhi, India",Asia
"Okinawa, Japan",Asia
Pakistan,Asia
"Patna, Bihar, India",Asia
"Phagwara, Punjab, India",Asia
"Phuket, Phuket, Thailand",Asia
"Pune, Maharashtra, India",Asia
"Punjab, Pakistan",Asia
"Raurkela, Odisha, India",Asia
Singapore,Asia
"Surat, Gujarat, India",Asia
"Tel Aviv District, Israel",Asia
"Tel Aviv-Yafo, Tel Aviv District, Israel",Asia
"Singapore, Singapore",Asia
"Tamil Nadu, India",Asia
Mumbai,Asia
"Bengaluru, India",Asia
Istanbul,Asia
"Bangalore, India",Asia
"New Delhi, Delhi, IND",Asia
"Satna, Madhya Pradesh, India",Asia
"Tokyo, Tokyo, Japan",Asia
"South Delhi, Delhi, India",Asia
United Arab Emirates,Asia
"Riyadh, Saudi Arabia",Asia
"Ko Samui, Surat Thani, Thailand",Asia
"Nakhon Pathom, Nakhon Pathom, Thailand",Asia
"Lucknow, Uttar Pradesh, India",Asia
Mumbai Metropolitan Region,Asia
"Shanghai, China",Asia
"Center District, Israel",Asia
Kuwait,Asia
Türkiye,Asia
Tel Aviv,Asia
Nepal,Asia
Philippines,Asia
Cebu City Philippines,Asia
"Benin City, Edo State, Nigeria",Africa
"Cape Town, Western Cape, South Africa",Africa
"Greater Accra Region, Ghana",Africa
"Lagos State, Nigeria",Africa
"Lagos, Lagos State, Nigeria",Africa
"Lekki, Lagos State, Nigeria",Africa
Mauritius,Africa
"Nairobi County, Kenya",Africa
Nigeria,Africa
"Rivers State, Nigeria",Africa
"Zaria, Kaduna State, Nigeria",Africa
Cape Town,Africa
Cape Town - South Africa,Africa
"Lagos, Nigeria ",Africa
